"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 11:40:48 IST 2023","Fri Aug 04 11:42:34 IST 2023","105668","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"passed","Mon Aug 07 16:57:49 IST 2023","Mon Aug 07 17:00:02 IST 2023","132443","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Mon Aug 07 18:47:54 IST 2023","Mon Aug 07 18:50:07 IST 2023","132959","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Fri Aug 04 11:38:33 IST 2023","Fri Aug 04 11:40:48 IST 2023","135116","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"passed","Fri Aug 11 15:53:35 IST 2023","Fri Aug 11 15:56:08 IST 2023","153750","Valid Login Scenario","Test Consignment","pages.TestPageConsinment","pages.TestPageConsinment","doStarted","doStarted",""
"passed","Fri Aug 11 15:50:51 IST 2023","Fri Aug 11 15:53:34 IST 2023","162716","Valid Login Scenario","Test Consignment","pages.TestPageConsinment","pages.TestPageConsinment","verifyValueStepperIsNotPresentOnSelectionOfDoc","verifyValueStepperIsNotPresentOnSelectionOfDoc",""
"broken","Mon Aug 07 18:50:07 IST 2023","Mon Aug 07 18:51:59 IST 2023","112342","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"passed","Mon Aug 07 16:43:58 IST 2023","Mon Aug 07 16:46:10 IST 2023","132642","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
"broken","Tue Aug 01 15:20:08 IST 2023","Tue Aug 01 15:21:48 IST 2023","100101","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentInbound","externalUserConsignmentInbound",""
"passed","Mon Aug 07 18:00:03 IST 2023","Mon Aug 07 18:02:21 IST 2023","137632","Valid Login Scenario","Test Consignment ExternalUser assigned MultipleBilledTos","pages.TestConsignmentExternalUser","pages.TestConsignmentExternalUser","externalUserConsignmentOutbound","externalUserConsignmentOutbound",""
